stpost,district,incname,incparty,d24,r24,tot24,pcd24,pcr24,marg24,d20,r20,tot20,pcd20,pcr20,marg20
CA,32,Brad Sherman,D,224304,114803,349320,0.6421,0.3286,0.3135,271209,112044,390332,0.6948,0.2870,0.4078
CA,33,Pete Aguilar,D,129054,107755,243888,0.5292,0.4418,0.0873,168266,99017,273478,0.6153,0.3621,0.2532
CA,34,Jimmy Gomez,D,156740,48092,214539,0.7306,0.2242,0.5064,205043,42309,253290,0.8095,0.1670,0.6425
CA,35,Norma Torres,D,131010,105937,244123,0.5367,0.4339,0.1027,173588,97138,276741,0.6273,0.3510,0.2763
CA,36,Ted Lieu,D,261912,111106,385620,0.6792,0.2881,0.3911,299046,113323,421108,0.7101,0.2691,0.4410
CA,37,Sydney Kamlager-Dove,D,184950,42949,235124,0.7866,0.1827,0.6039,239814,34760,279846,0.8569,0.1242,0.7327
CA,38,Linda Sanchez,D,166559,119143,294877,0.5648,0.4040,0.1608,217122,114836,338870,0.6407,0.3389,0.3018
CA,39,Mark Takano,D,125934,103033,236224,0.5331,0.4362,0.0969,165291,95616,266730,0.6197,0.3585,0.2612
CA,40,Young Kim,R,184651,193734,391393,0.4718,0.4950,-0.0232,212169,204203,424992,0.4992,0.4805,0.0187
CA,41,Ken Calvert,R,165922,187430,362808,0.4573,0.5166,-0.0593,178995,182973,368474,0.4858,0.4966,-0.0108
CA,42,Robert Garcia,D,159940,79492,248059,0.6448,0.3205,0.3243,207750,74998,289669,0.7172,0.2589,0.4583
CA,43,Maxine Waters,D,162845,53435,223449,0.7288,0.2391,0.4896,218764,46043,270782,0.8079,0.1700,0.6379
CA,44,Nanette Barragan,D,164053,79136,251106,0.6533,0.3151,0.3382,213507,72413,292791,0.7292,0.2473,0.4819
CA,45,Derek Tran,D,159879,154900,324363,0.4929,0.4776,0.0154,186196,164111,357137,0.5214,0.4595,0.0618
CA,46,Lou Correa,D,125174,86462,218362,0.5732,0.3960,0.1773,162579,85483,253538,0.6412,0.3372,0.3041
CA,47,Dave Min,D,182428,167325,362462,0.5033,0.4616,0.0417,212948,169641,390918,0.5447,0.4340,0.1108
CA,48,Darrell Issa,R,152884,209800,371854,0.4111,0.5642,-0.1531,167285,215540,391616,0.4272,0.5504,-0.1232
CA,49,Mike Levin,D,202287,172361,385546,0.5247,0.4471,0.0776,221230,174975,405298,0.5458,0.4317,0.1141
CA,50,Scott Peters,D,234873,124867,372180,0.6311,0.3355,0.2956,262795,129606,401947,0.6538,0.3224,0.3314
CA,51,Sara Jacobs,D,204059,124434,338858,0.6022,0.3672,0.2350,231182,130132,370060,0.6247,0.3517,0.2731
CA,52,Juan Vargas,D,159494,102478,269073,0.5928,0.3809,0.2119,205523,93111,304934,0.6740,0.3053,0.3686
CO,1,Diana DeGette,D,280661,75479,365908,0.7670,0.2063,0.5607,315904,72379,397310,0.7951,0.1822,0.6129
CO,2,Joe Neguse,D,295692,123973,431634,0.6851,0.2872,0.3978,306400,128491,446260,0.6866,0.2879,0.3987
CO,3,Jeff Hurd,R,178501,218065,406672,0.4389,0.5362,-0.0973,184181,218187,412128,0.4469,0.5294,-0.0825
CO,4,Lauren Boebert,R,182901,267114,461367,0.3964,0.5790,-0.1825,174553,256585,442183,0.3948,0.5803,-0.1855
CO,5,Jeff Crank,R,165522,199615,375301,0.4410,0.5319,-0.0908,160880,198614,373408,0.4308,0.5319,-0.1011
CO,6,Jason Crow,D,210533,139305,360149,0.5846,0.3868,0.1978,232517,141195,383771,0.6059,0.3679,0.2380
CO,7,Brittany Pettersen,D,249924,183164,445524,0.5610,0.4111,0.1498,256166,190987,459940,0.5570,0.4152,0.1417
CO,8,Gabe Evans,R,164425,170726,344318,0.4775,0.4958,-0.0183,173751,158170,341951,0.5081,0.4626,0.0456
CT,1,John Larson,D,208405,129726,343851,0.6061,0.3773,0.2288,227830,126759,359895,0.6330,0.3522,0.2808
CT,2,Joe Courtney,D,205994,175984,388477,0.5303,0.4530,0.0773,214158,169366,391348,0.5472,0.4328,0.1145
CT,3,Rosa DeLauro,D,191831,143737,342110,0.5607,0.4201,0.1406,213122,142174,359820,0.5923,0.3951,0.1972
CT,4,Jim Himes,D,206080,127034,338387,0.6090,0.3754,0.2336,230411,120230,355456,0.6482,0.3382,0.3100
CT,5,Jahana Hayes,D,179743,160437,345604,0.5201,0.4642,0.0559,195160,156762,357217,0.5463,0.4388,0.1075
DE,1,Sarah McBride,D,289758,214351,511697,0.5663,0.4189,0.1474,296268,200603,504010,0.5878,0.3980,0.1898
FL,1,Jimmy Patronis,R,130210,287054,421568,0.3089,0.6809,-0.3720,139194,275547,421983,0.3299,0.6530,-0.3231
FL,2,Neal Dunn,R,166158,239978,410127,0.4051,0.5851,-0.1800,180607,225757,410746,0.4397,0.5496,-0.1099
FL,3,Kat Cammack,R,155748,240137,399639,0.3897,0.6009,-0.2112,166687,222032,392680,0.4245,0.5654,-0.1409
FL,4,Aaron Bean,R,173072,220106,397132,0.4358,0.5542,-0.1184,184152,210911,400004,0.4604,0.5273,-0.0669
FL,5,John Rutherford,R,168926,262439,436333,0.3871,0.6015,-0.2143,176903,244278,426534,0.4147,0.5727,-0.1580
FL,6,Randy Fine,R,152754,285616,441578,0.3459,0.6468,-0.3009,160980,262018,426794,0.3772,0.6139,-0.2367
FL,7,Cory Mills,R,184389,237638,426813,0.4320,0.5568,-0.1248,202049,226044,432716,0.4669,0.5224,-0.0555
FL,8,Mike Haridopolos,R,177212,280406,461931,0.3836,0.6070,-0.2234,186758,267849,459670,0.4063,0.5827,-0.1764
FL,9,Darren Soto,D,170042,158367,332322,0.5117,0.4765,0.0351,198451,139043,340752,0.5824,0.4080,0.1743
FL,10,Maxwell Frost,D,182937,114483,301485,0.6068,0.3797,0.2271,218958,112414,335201,0.6532,0.3354,0.3178
FL,11,Daniel Webster,R,189155,263412,456757,0.4141,0.5767,-0.1626,188273,234657,426492,0.4414,0.5502,-0.1088
FL,12,Gus Bilirakis,R,143215,296459,443210,0.3231,0.6689,-0.3458,150490,273483,428151,0.3515,0.6388,-0.2873
FL,13,Anna Paulina Luna,R,182362,231968,418303,0.4360,0.5545,-0.1186,207951,238399,450980,0.4611,0.5286,-0.0675
FL,14,Kathy Castor,D,190430,163008,357518,0.5326,0.4559,0.0767,231590,156409,392644,0.5898,0.3983,0.1915
FL,15,Laurel Lee,R,155662,195534,356338,0.4368,0.5487,-0.1119,176040,187647,367849,0.4786,0.5101,-0.0316
FL,16,Vern Buchanan,R,177608,243281,424610,0.4183,0.5730,-0.1547,184319,220728,409050,0.4506,0.5396,-0.0890
FL,17,Greg Steube,R,176069,287945,467186,0.3769,0.6163,-0.2395,187427,259237,450114,0.4164,0.5759,-0.1595
FL,18,Scott Franklin,R,124323,229013,356098,0.3491,0.6431,-0.2940,133424,213235,349949,0.3813,0.6093,-0.2281
FL,19,Byron Donalds,R,150278,275172,428204,0.3509,0.6426,-0.2917,169589,260674,433251,0.3914,0.6017,-0.2102
FL,20,Sheila Cherfilus-McCormick,D,207864,89156,299724,0.6935,0.2975,0.3961,252405,78222,332578,0.7589,0.2352,0.5237
FL,21,Brian Mast,R,188603,264124,455972,0.4136,0.5793,-0.1656,199069,240849,442839,0.4495,0.5439,-0.0943
FL,22,Lois Frankel,D,197003,176046,376334,0.5235,0.4678,0.0557,229942,160705,393104,0.5849,0.4088,0.1761
FL,23,Jared Moskowitz,D,195684,188302,387455,0.5050,0.4860,0.0191,232548,177952,412845,0.5633,0.4310,0.1322
FL,24,Frederica Wilson,D,191104,102190,295841,0.6460,0.3454,0.3005,245449,83302,330498,0.7427,0.2520,0.4906
FL,25,Debbie Wasserman Schultz,D,184023,165217,352829,0.5216,0.4683,0.0533,229439,152844,384550,0.5966,0.3975,0.1992
FL,26,Mario Diaz-Balart,R,101483,211711,315221,0.3219,0.6716,-0.3497,126831,184088,312563,0.4058,0.5890,-0.1832
FL,27,Maria Elvira Salazar,R,142906,192461,338014,0.4228,0.5694,-0.1466,178067,179207,359223,0.4957,0.4989,-0.0032
FL,28,Carlos Gimenez,R,123817,208901,335003,0.3696,0.6236,-0.2540,159454,181199,342665,0.4653,0.5288,-0.0635
GA,1,Buddy Carter,R,152070,209540,363589,0.4182,0.5763,-0.1581,144314,189725,338574,0.4262,0.5604,-0.1341
GA,2,Sanford Bishop,D,169577,145474,316317,0.5361,0.4599,0.0762,173621,140787,317280,0.5472,0.4437,0.1035
GA,3,Brian Jack,R,145886,270196,418554,0.3485,0.6455,-0.2970,132438,248375,385533,0.3435,0.6442,-0.3007
GA,4,Hank Johnson,D,234429,71937,309663,0.7570,0.2323,0.5247,248593,65346,317482,0.7830,0.2058,0.5772
GA,5,Nikema Williams,D,299983,48165,351733,0.8529,0.1369,0.7159,298038,45300,347583,0.8575,0.1303,0.7271
GA,6,Lucy McBath,D,280411,92612,376079,0.7456,0.2463,0.4994,272649,90780,367715,0.7415,0.2469,0.4946
GA,7,Rich McCormick,R,166264,261716,432786,0.3842,0.6047,-0.2206,160882,240034,406792,0.3955,0.5901,-0.1946
GA,8,Austin Scott,R,119340,225184,345955,0.3450,0.6509,-0.3059,117889,209159,330441,0.3568,0.6330,-0.2762
GA,9,Andrew Clyde,R,130776,267538,401323,0.3259,0.6666,-0.3408,121352,239320,365489,0.3320,0.6548,-0.3228
GA,10,Mike Collins,R,162887,249036,414479,0.3930,0.6008,-0.2078,146057,226098,376859,0.3876,0.6000,-0.2124
GA,11,Barry Loudermilk,R,159023,257070,420016,0.3786,0.6120,-0.2334,149016,234589,390136,0.3820,0.6013,-0.2193
GA,12,Rick Allen,R,149015,198465,349195,0.4267,0.5684,-0.1416,151146,185743,340948,0.4433,0.5448,-0.1015
GA,13,David Scott,D,257537,103350,364212,0.7071,0.2838,0.4233,248807,104096,356696,0.6975,0.2918,0.4057
GA,14,Marjorie Taylor Greene,R,120819,262833,386145,0.3129,0.6807,-0.3678,108830,242501,356187,0.3055,0.6808,-0.3753
HI,1,Ed Case,D,153039,91498,248840,0.6150,0.3677,0.2473,178660,96350,279670,0.6388,0.3445,0.2943
HI,2,Jill Tokuda,D,160005,102163,267861,0.5973,0.3814,0.2159,187470,100514,294799,0.6359,0.3410,0.2950
IA,1,Mariannette Miller-Meeks,R,190502,226309,422996,0.4504,0.5350,-0.0847,203400,215742,426927,0.4764,0.5053,-0.0289
IA,2,Ashley Hinson,R,186017,227941,419694,0.4432,0.5431,-0.0999,203246,222312,433378,0.4690,0.5130,-0.0440
IA,3,Zach Nunn,R,199043,217645,422161,0.4715,0.5155,-0.0441,205591,207043,420101,0.4894,0.4928,-0.0035
IA,4,Randy Feenstra,R,131716,255124,391998,0.3360,0.6508,-0.3148,146824,252575,406128,0.3615,0.6219,-0.2604
ID,1,Russ Fulcher,R,126556,343893,482249,0.2624,0.7131,-0.4507,132085,302868,447457,0.2952,0.6769,-0.3817
ID,2,Mike Simpson,R,148416,261353,422563,0.3512,0.6185,-0.2673,154936,251251,419904,0.3690,0.5984,-0.2294
IL,1,Jonathan Jackson,D,214180,109215,327524,0.6539,0.3335,0.3205,260631,103984,369753,0.7049,0.2812,0.4237
IL,2,Robin Kelly,D,196188,97557,297831,0.6587,0.3276,0.3312,231924,98000,334668,0.6930,0.2928,0.4002
IL,3,Delia Ramirez,D,172024,88947,264637,0.6500,0.3361,0.3139,207342,84147,297395,0.6972,0.2829,0.4142
IL,4,Chuy Garcia,D,133997,74150,211284,0.6342,0.3509,0.2833,175301,62731,242543,0.7228,0.2586,0.4641
IL,5,Mike Quigley,D,254128,115335,373934,0.6796,0.3084,0.3712,275679,117237,400256,0.6888,0.2929,0.3959
IL,6,Sean Casten,D,190484,170365,366334,0.5200,0.4651,0.0549,216368,173185,396914,0.5451,0.4363,0.1088
IL,7,Danny Davis,D,227588,46357,277166,0.8211,0.1673,0.6539,274896,41082,321060,0.8562,0.1280,0.7283
IL,8,Raja Krishnamoorthi,D,162610,141333,307970,0.5280,0.4589,0.0691,189430,138017,333628,0.5678,0.4137,0.1541
IL,9,Jan Schakowsky,D,234534,107886,346306,0.6772,0.3115,0.3657,267524,108596,382482,0.6994,0.2839,0.4155
IL,10,Brad Schneider,D,198884,126235,329534,0.6035,0.3831,0.2205,220357,128416,355522,0.6198,0.3612,0.2586
IL,11,Bill Foster,D,198860,157499,361856,0.5496,0.4353,0.1143,215328,157129,380478,0.5659,0.4130,0.1530
IL,12,Mike Bost,R,102645,264477,372700,0.2754,0.7096,-0.4342,106204,270198,383257,0.2771,0.7050,-0.4279
IL,13,Nikki Budzinski,D,180464,145725,331866,0.5438,0.4391,0.1047,195393,155142,358904,0.5444,0.4323,0.1121
IL,14,Lauren Underwood,D,173949,156554,335428,0.5186,0.4667,0.0519,191028,151016,348998,0.5474,0.4327,0.1146
IL,15,Mary Miller,R,111678,263292,381405,0.2928,0.6903,-0.3975,117057,270236,395434,0.2960,0.6834,-0.3874
IL,16,Darin LaHood,R,147743,236254,390305,0.3785,0.6053,-0.2268,152633,238789,400519,0.3811,0.5962,-0.2151
IL,17,Eric Sorensen,D,162905,147899,316290,0.5150,0.4676,0.0474,174821,148985,331627,0.5272,0.4493,0.0779
IN,1,Frank Mrvan,D,161625,160330,327083,0.4941,0.4902,0.0040,181832,153364,340700,0.5337,0.4501,0.0836
IN,2,Rudy Yakym,R,107778,187182,299603,0.3597,0.6248,-0.2650,117687,187968,311424,0.3779,0.6036,-0.2257
IN,3,Marlin Stutzman,R,107772,207946,321172,0.3356,0.6475,-0.3119,111650,209890,328584,0.3398,0.6388,-0.2990
IN,4,Jim Baird,R,114999,213001,333994,0.3443,0.6377,-0.2934,118417,219029,345309,0.3429,0.6343,-0.2914
IN,5,Victoria Spartz,R,150105,212150,369170,0.4066,0.5747,-0.1681,151397,210212,369022,0.4103,0.5696,-0.1594
IN,6,Jefferson Shreve,R,107012,212902,325612,0.3286,0.6539,-0.3252,109391,215307,331748,0.3297,0.6490,-0.3193
IN,7,Andre Carson,D,189586,77134,271247,0.6989,0.2844,0.4146,213498,84813,303734,0.7029,0.2792,0.4237
IN,8,Mark Messmer,R,103784,223051,332397,0.3122,0.6710,-0.3588,112346,225275,343948,0.3266,0.6550,-0.3283
IN,9,Erin Houchin,R,121011,226651,353491,0.3423,0.6412,-0.2988,126197,223661,356696,0.3538,0.6270,-0.2732
KS,1,Tracey Mann,R,103889,200988,310550,0.3345,0.6472,-0.3127,110422,206364,323819,0.3410,0.6373,-0.2963
KS,2,Derek Schmidt,R,120738,181316,307903,0.3921,0.5889,-0.1967,130954,183352,321754,0.4070,0.5699,-0.1629
KS,3,Sharice Davids,D,203405,187105,397590,0.5116,0.4706,0.0410,205621,187731,401921,0.5116,0.4671,0.0445
KS,4,Ron Estes,R,116821,189393,311548,0.3750,0.6079,-0.2329,123326,193958,324810,0.3797,0.5971,-0.2175
KY,1,James Comer,R,88125,250232,342750,0.2571,0.7301,-0.4730,98100,248460,351824,0.2788,0.7062,-0.4274
KY,2,Brett Guthrie,R,100536,245734,351285,0.2862,0.6995,-0.4133,108502,237998,352498,0.3078,0.6752,-0.3674
KY,3,Morgan McGarvey,D,194712,131797,332190,0.5861,0.3968,0.1894,220429,138649,365965,0.6023,0.3789,0.2235
KY,4,Thomas Massie,R,117644,250916,374804,0.3139,0.6695,-0.3556,122980,244777,374537,0.3284,0.6535,-0.3252
KY,5,Hal Rogers,R,55275,257630,316756,0.1745,0.8133,-0.6388,64435,258817,327397,0.1968,0.7905,-0.5937
KY,6,Andy Barr,R,147751,201185,355524,0.4156,0.5659,-0.1503,158028,197944,363215,0.4351,0.5450,-0.1099
LA,1,Steve Scalise,R,111933,252925,371800,0.3011,0.6803,-0.3792,116933,265707,389944,0.2999,0.6814,-0.3815
LA,2,Troy Carter,D,207309,106781,320338,0.6472,0.3333,0.3138,235018,109269,350031,0.6714,0.3122,0.3593
LA,3,Clay Higgins,R,90504,240932,335959,0.2694,0.7171,-0.4478,99593,249903,355491,0.2802,0.7030,-0.4228
LA,4,Mike Johnson,R,78541,254091,336699,0.2333,0.7547,-0.5214,87192,261304,353970,0.2463,0.7382,-0.4919
LA,5,Julia Letlow,R,104074,225375,334450,0.3112,0.6739,-0.3627,114890,234776,355457,0.3232,0.6605,-0.3373
LA,6,Cleo Fields,D,174508,128401,307729,0.5671,0.4173,0.1498,202408,134818,343169,0.5898,0.3929,0.1970
MA,1,Richard Neal,D,211784,160045,379806,0.5576,0.4214,0.1362,235190,150037,393141,0.5982,0.3816,0.2166
MA,2,Jim McGovern,D,231966,141308,382912,0.6058,0.3690,0.2368,254528,132546,395665,0.6433,0.3350,0.3083
MA,3,Lori Trahan,D,208626,140854,357054,0.5843,0.3945,0.1898,233536,131375,372676,0.6266,0.3525,0.2741
MA,4,Jake Auchincloss,D,237730,158054,403966,0.5885,0.3913,0.1972,263669,145121,416487,0.6331,0.3484,0.2846
MA,5,Katherine Clark,D,265591,97371,372437,0.7131,0.2614,0.4517,298842,94405,399703,0.7477,0.2362,0.5115
MA,6,Seth Moulton,D,255729,166654,430682,0.5938,0.3870,0.2068,283226,158963,450070,0.6293,0.3532,0.2761
MA,7,Ayanna Pressley,D,222693,47009,278443,0.7998,0.1688,0.6310,269381,41245,314904,0.8554,0.1310,0.7245
MA,8,Stephen Lynch,D,242623,139502,390362,0.6215,0.3574,0.2642,277534,130407,414844,0.6690,0.3144,0.3547
MA,9,Bill Keating,D,249776,200506,457746,0.5457,0.4380,0.1076,266296,183101,457586,0.5820,0.4001,0.1818
MD,1,Andy Harris,R,171555,243356,424523,0.4041,0.5732,-0.1691,171268,230930,410539,0.4172,0.5625,-0.1453
MD,2,Johnny Olszewski,D,227194,154843,392005,0.5796,0.3950,0.1846,232384,150927,391029,0.5943,0.3860,0.2083
MD,3,Sarah Elfreth,D,249542,151360,413154,0.6040,0.3664,0.2376,255249,149743,413425,0.6174,0.3622,0.2552
MD,4,Glenn Ivey,D,240880,33369,281855,0.8546,0.1184,0.7362,271589,26247,302947,0.8965,0.0866,0.8099
MD,5,Steny Hoyer,D,280941,138217,428752,0.6553,0.3224,0.3329,280898,128846,416761,0.6740,0.3092,0.3648
MD,6,April McClain Delaney,D,200040,177658,387773,0.5159,0.4581,0.0577,200375,163848,371676,0.5391,0.4408,0.0983
MD,7,Kweisi Mfume,D,236171,58128,302076,0.7818,0.1924,0.5894,251751,54327,310936,0.8097,0.1747,0.6349
MD,8,Jamie Raskin,D,296254,78619,385512,0.7685,0.2039,0.5645,321508,71547,399296,0.8052,0.1792,0.6260
ME,1,Chellie Pingree,D,258863,165214,433356,0.5973,0.3812,0.2161,258001,159932,430096,0.5999,0.3719,0.2280
ME,2,Jared Golden,D,176789,212763,397438,0.4448,0.5353,-0.0905,177070,200803,389278,0.4549,0.5158,-0.0610
MI,1,Jack Bergman,R,187850,290869,485753,0.3867,0.5988,-0.2121,182977,274971,465104,0.3934,0.5912,-0.1978
MI,2,John Moolenaar,R,151066,283908,441509,0.3422,0.6430,-0.3009,145196,262155,414538,0.3503,0.6324,-0.2821
MI,3,Hillary Scholten,D,226857,193356,427349,0.5308,0.4525,0.0784,222098,186701,416906,0.5327,0.4478,0.0849
MI,4,Bill Huizenga,R,201773,225809,434160,0.4647,0.5201,-0.0554,196696,213155,417516,0.4711,0.5105,-0.0394
MI,5,Tim Walberg,R,151092,265192,422272,0.3578,0.6280,-0.2702,150368,248430,405836,0.3705,0.6121,-0.2416
MI,6,Debbie Dingell,D,280089,171949,464014,0.6036,0.3706,0.2331,286146,164381,456503,0.6268,0.3601,0.2667
MI,7,Tom Barrett,R,224740,230678,462734,0.4857,0.4985,-0.0128,219465,217141,444296,0.4940,0.4887,0.0052
MI,8,Kristen McDonald Rivet,D,209502,218093,433716,0.4830,0.5028,-0.0198,215710,207003,429213,0.5026,0.4823,0.0203
MI,9,Lisa McClain,R,161552,319082,487198,0.3316,0.6549,-0.3233,160590,297475,464737,0.3456,0.6401,-0.2945
MI,10,John James,R,199324,227882,436216,0.4569,0.5224,-0.0655,209969,214177,429829,0.4885,0.4983,-0.0098
MI,11,Haley Stevens,D,262389,188361,460276,0.5701,0.4092,0.1608,273915,182229,462280,0.5925,0.3942,0.1983
MI,12,Rashida Tlaib,D,249017,106983,374126,0.6656,0.2860,0.3796,285642,97508,387609,0.7369,0.2516,0.4854
MI,13,Shri Thanedar,D,231273,94471,333169,0.6942,0.2836,0.4106,252697,83907,340610,0.7419,0.2463,0.4956
MN,1,Brad Finstad,R,167186,213794,388291,0.4306,0.5506,-0.1200,172285,208058,388718,0.4432,0.5352,-0.0920
MN,2,Angie Craig,D,220555,195780,424818,0.5192,0.4609,0.0583,221003,190819,420650,0.5254,0.4536,0.0718
MN,3,Kelly Morrison,D,251783,161925,422632,0.5957,0.3831,0.2126,258543,167402,434448,0.5951,0.3853,0.2098
MN,4,Betty McCollum,D,251495,117085,376783,0.6675,0.3107,0.3567,268967,119722,396499,0.6784,0.3019,0.3764
