"","stdistdecade","cycle","stateabrev","distnamez","distz","dem_share","dem_share_imputed","pres_dem_prop","pres_dem_prop_2012","pres_dem_prop_2016","pres_dem_prop_2020","incumb","gov_sen_dem_prop","party_winner","chamber"
"88","al12002",1984,"al","","12",NA,0.456244844626465,0.393929712483836,NA,NA,NA,0,0.53420996264196,NA,"state_senate"
"89","al12002",1986,"al","","12",1,0.602418675603533,0.393929712483836,NA,NA,NA,1,0.53420996264196,"d","state_senate"
"90","al12002",1988,"al","","12",NA,0.599918399177446,0.393929712483836,NA,NA,NA,0,0.53420996264196,"d","state_senate"
"91","al12002",1990,"al","","12",0.61349229217692,0.61349229217692,0.393929712483836,NA,NA,NA,0,0.53420996264196,"d","state_senate"
"92","al12003",1992,"al","","12",NA,0.61349229217692,0.416021376848221,NA,NA,NA,0,NA,"d","state_senate"
"93","al12003",1994,"al","","12",0.573554470067023,0.573554470067023,0.416021376848221,NA,NA,NA,1,NA,"d","state_senate"
"94","al12003",1996,"al","","12",NA,0.573554470067023,0.416021376848221,NA,NA,NA,0,NA,"d","state_senate"
"95","al12003",1998,"al","","12",0.490426912244058,0.490426912244058,0.416021376848221,NA,NA,NA,0,NA,"r","state_senate"
"96","al12003",2000,"al","","12",NA,0.490426912244058,0.416021376848221,NA,NA,NA,0,NA,"r","state_senate"
"97","al12004",2002,"al","","12",0.406206698214332,0.406206698214332,0.254239172812291,NA,NA,NA,-1,NA,"r","state_senate"
"98","al12004",2004,"al","","12",NA,0.406206698214332,0.254239172812291,NA,NA,NA,0,NA,"r","state_senate"
"99","al12004",2006,"al","","12",0,0.349484063767667,0.254239172812291,NA,NA,NA,-1,NA,"r","state_senate"
"100","al12004",2008,"al","","12",NA,0.453849891636343,0.254239172812291,NA,NA,NA,0,NA,"r","state_senate"
"101","al12004",2010,"al","","12",0.362799351206946,0.362799351206946,0.254239172812291,NA,NA,NA,-1,NA,"r","state_senate"
"102","al12005",2012,"al","","12",NA,0.362799351206946,0.291761316810496,NA,0.28502204467671,0.298500588944283,0,NA,"r","state_senate"
"103","al12005",2014,"al","","12",0.427524007267065,0.427524007267065,0.291761316810496,NA,0.28502204467671,0.298500588944283,-1,NA,"r","state_senate"
"104","al12005",2016,"al","","12",NA,0.427524007267065,0.291761316810496,NA,0.28502204467671,0.298500588944283,0,NA,"r","state_senate"
"105","al12005",2018,"al","","12",0.353732013326088,0.353732013326088,0.291761316810496,NA,0.28502204467671,0.298500588944283,-1,NA,"r","state_senate"
"106","al12005",2020,"al","","12",NA,0.353732013326088,0.291761316810496,NA,0.28502204467671,0.298500588944283,0,NA,"r","state_senate"
"107","al12006",2022,"al","","12",0.262974626827457,0.262974626827457,0.308598619599258,NA,NA,NA,0,NA,"r","state_senate"
"108","al12006",2024,"al","","12",NA,0.262974626827457,0.308598619599258,NA,NA,NA,0,NA,"r","state_senate"
"109","al13001",1972,"al","","13",NA,0.581127272672151,0.410356481854028,NA,NA,NA,0,0.732725264227549,NA,"state_senate"
"110","al13001",1974,"al","","13",1,0.701836968112206,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"111","al13001",1976,"al","","13",NA,0.68604615369865,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"112","al13001",1978,"al","","13",1,0.691026895533135,0.410356481854028,NA,NA,NA,1,0.732725264227549,"d","state_senate"
"113","al13001",1980,"al","","13",NA,0.610352669052188,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"114","al13002",1982,"al","","13",NA,0.550760357092973,0.382509909920668,NA,NA,NA,0,0.553504570741439,NA,"state_senate"
"115","al13002",1984,"al","","13",NA,0.44934479552238,0.382509909920668,NA,NA,NA,0,0.553504570741439,NA,"state_senate"
"116","al13002",1986,"al","","13",1,0.601512364465064,0.382509909920668,NA,NA,NA,1,0.553504570741439,"d","state_senate"
"117","al13002",1988,"al","","13",NA,0.599300126601346,0.382509909920668,NA,NA,NA,0,0.553504570741439,"d","state_senate"
"118","al13002",1990,"al","","13",1,0.659810809377665,0.382509909920668,NA,NA,NA,1,0.553504570741439,"d","state_senate"
"119","al13003",1992,"al","","13",NA,0.520780286355176,0.410673201084137,NA,NA,NA,0,NA,"d","state_senate"
"120","al13003",1994,"al","","13",1,0.569986808356467,0.410673201084137,NA,NA,NA,1,NA,"d","state_senate"
"121","al13003",1996,"al","","13",NA,0.564144987884023,0.410673201084137,NA,NA,NA,0,NA,"d","state_senate"
"122","al13003",1998,"al","","13",0.685742286104594,0.685742286104594,0.410673201084137,NA,NA,NA,1,NA,"d","state_senate"
"123","al13003",2000,"al","","13",NA,0.685742286104594,0.410673201084137,NA,NA,NA,0,NA,"d","state_senate"
"124","al13004",2002,"al","","13",1,0.611147582790694,0.31793344590051,NA,NA,NA,1,NA,"d","state_senate"
"125","al13004",2004,"al","","13",NA,0.561367391263276,0.31793344590051,NA,NA,NA,0,NA,"d","state_senate"
"126","al13004",2006,"al","","13",0.50563785098386,0.50563785098386,0.31793344590051,NA,NA,NA,0,NA,"d","state_senate"
"127","al13004",2008,"al","","13",NA,0.50563785098386,0.31793344590051,NA,NA,NA,0,NA,"d","state_senate"
"128","al13004",2010,"al","","13",0.495207153022044,0.495207153022044,0.31793344590051,NA,NA,NA,0,NA,"r","state_senate"
"129","al13005",2012,"al","","13",NA,0.495207153022044,0.271775653121214,NA,0.270333654275433,0.273217651966995,0,NA,"r","state_senate"
"130","al13005",2014,"al","","13",0.383489073651681,0.383489073651681,0.271775653121214,NA,0.270333654275433,0.273217651966995,-1,NA,"r","state_senate"
"131","al13005",2016,"al","","13",NA,0.383489073651681,0.271775653121214,NA,0.270333654275433,0.273217651966995,0,NA,"r","state_senate"
"132","al13005",2018,"al","","13",0.288710004735169,0.288710004735169,0.271775653121214,NA,0.270333654275433,0.273217651966995,0,NA,"r","state_senate"
"133","al13005",2020,"al","","13",NA,0.288710004735169,0.271775653121214,NA,0.270333654275433,0.273217651966995,0,NA,"r","state_senate"
"134","al13006",2022,"al","","13",0,0.232363245087134,0.288366085164436,NA,NA,NA,-1,NA,"r","state_senate"
"135","al13006",2024,"al","","13",NA,0.272893766527708,0.288366085164436,NA,NA,NA,0,NA,"r","state_senate"
"136","al14001",1972,"al","","14",NA,0.577107335042508,0.410356481854028,NA,NA,NA,0,0.732725264227549,NA,"state_senate"
"137","al14001",1974,"al","","14",1,0.694668354518473,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"138","al14001",1976,"al","","14",NA,0.689173378260447,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"139","al14001",1978,"al","","14",1,0.62281459284933,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"140","al14001",1980,"al","","14",NA,0.56154910748001,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"141","al14002",1982,"al","","14",NA,0.450317130083342,0.293665026847089,NA,NA,NA,0,0.432363528478277,NA,"state_senate"
"142","al14002",1984,"al","","14",NA,0.273687724169101,0.293665026847089,NA,NA,NA,0,0.432363528478277,NA,"state_senate"
"143","al14002",1986,"al","","14",1,0.421483960873562,0.293665026847089,NA,NA,NA,1,0.432363528478277,"d","state_senate"
"144","al14002",1988,"al","","14",NA,0.36554739071576,0.293665026847089,NA,NA,NA,0,0.432363528478277,"d","state_senate"
"145","al14002",1990,"al","","14",0.310513001663666,0.310513001663666,0.293665026847089,NA,NA,NA,-1,0.432363528478277,"r","state_senate"
"146","al14003",1992,"al","","14",NA,0.310513001663666,0.270691424608231,NA,NA,NA,0,NA,"r","state_senate"
"147","al14003",1994,"al","","14",0.357455588546122,0.357455588546122,0.270691424608231,NA,NA,NA,0,NA,"r","state_senate"
"148","al14003",1996,"al","","14",NA,0.357455588546122,0.270691424608231,NA,NA,NA,0,NA,"r","state_senate"
"149","al14003",1998,"al","","14",0.252299517771031,0.252299517771031,0.270691424608231,NA,NA,NA,-1,NA,"r","state_senate"
"150","al14003",2000,"al","","14",NA,0.252299517771031,0.270691424608231,NA,NA,NA,0,NA,"r","state_senate"
"151","al14004",2002,"al","","14",0,0.467304216721478,0.224335923410255,NA,NA,NA,0,NA,"r","state_senate"
"152","al14004",2004,"al","","14",NA,0.423957069940975,0.224335923410255,NA,NA,NA,0,NA,"r","state_senate"
"153","al14004",2006,"al","","14",0,0.329442545004376,0.224335923410255,NA,NA,NA,-1,NA,"r","state_senate"
"154","al14004",2008,"al","","14",NA,0.384795711426033,0.224335923410255,NA,NA,NA,0,NA,"r","state_senate"
"155","al14004",2010,"al","","14",0,0.308909271519047,0.224335923410255,NA,NA,NA,0,NA,"r","state_senate"
"156","al14005",2012,"al","","14",NA,0.343946056302183,0.263085895117232,NA,0.240269692540365,0.285902097694098,0,NA,"r","state_senate"
"157","al14005",2014,"al","","14",0,0.259453013218695,0.263085895117232,NA,0.240269692540365,0.285902097694098,-1,NA,"r","state_senate"
"158","al14005",2016,"al","","14",NA,0.25959455022861,0.263085895117232,NA,0.240269692540365,0.285902097694098,0,NA,"r","state_senate"
"159","al14005",2018,"al","","14",0.27338953064835,0.27338953064835,0.263085895117232,NA,0.240269692540365,0.285902097694098,-1,NA,"r","state_senate"
"160","al14005",2020,"al","","14",NA,0.27338953064835,0.263085895117232,NA,0.240269692540365,0.285902097694098,0,NA,"r","state_senate"
"161","al14006",2022,"al","","14",0,0.239127089252351,0.286333116742473,NA,NA,NA,0,NA,"r","state_senate"
"162","al14006",2024,"al","","14",NA,0.247075088501574,0.286333116742473,NA,NA,NA,0,NA,"r","state_senate"
"163","al15001",1972,"al","","15",NA,0.572673526364788,0.410356481854028,NA,NA,NA,0,0.732725264227549,NA,"state_senate"
"164","al15001",1974,"al","","15",1,0.698082778394367,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"165","al15001",1976,"al","","15",NA,0.68576781505433,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"166","al15001",1978,"al","","15",1,0.693390757729032,0.410356481854028,NA,NA,NA,1,0.732725264227549,"d","state_senate"
"167","al15001",1980,"al","","15",NA,0.618575415128837,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"168","al15002",1982,"al","","15",NA,0.532171669902122,0.411993577193295,NA,NA,NA,0,0.504034373402649,NA,"state_senate"
"169","al15002",1984,"al","","15",NA,0.447055716242625,0.411993577193295,NA,NA,NA,0,0.504034373402649,NA,"state_senate"
"170","al15002",1986,"al","","15",0.597022575309275,0.597022575309275,0.411993577193295,NA,NA,NA,1,0.504034373402649,"d","state_senate"
"171","al15002",1988,"al","","15",NA,0.597022575309275,0.411993577193295,NA,NA,NA,0,0.504034373402649,"d","state_senate"
"172","al15002",1990,"al","","15",0.400410026114759,0.400410026114759,0.411993577193295,NA,NA,NA,-1,0.504034373402649,"r","state_senate"
"173","al15003",1992,"al","","15",NA,0.400410026114759,0.338293105363846,NA,NA,NA,0,NA,"r","state_senate"
"174","al15003",1994,"al","","15",0,0.34465939044917,0.338293105363846,NA,NA,NA,-1,NA,"r","state_senate"
"175","al15003",1996,"al","","15",NA,0.388244020523491,0.338293105363846,NA,NA,NA,0,NA,"r","state_senate"
"176","al15003",1998,"al","","15",0,0.431236354837338,0.338293105363846,NA,NA,NA,0,NA,"r","state_senate"
"177","al15003",2000,"al","","15",NA,0.414972154133884,0.338293105363846,NA,NA,NA,0,NA,"r","state_senate"
"178","al15004",2002,"al","","15",0,0.363694887641575,0.225284442292911,NA,NA,NA,-1,NA,"r","state_senate"
"179","al15004",2004,"al","","15",NA,0.365151435345041,0.225284442292911,NA,NA,NA,0,NA,"r","state_senate"
"180","al15004",2006,"al","","15",0,0.296229799783083,0.225284442292911,NA,NA,NA,-1,NA,"r","state_senate"
"181","al15004",2008,"al","","15",NA,0.365322725391494,0.225284442292911,NA,NA,NA,0,NA,"r","state_senate"
"182","al15004",2010,"al","","15",0,0.294317282968672,0.225284442292911,NA,NA,NA,0,NA,"r","state_senate"
"183","al15005",2012,"al","","15",NA,0.368266053662034,0.302846821430026,NA,0.285398329882417,0.320295312977635,0,NA,"r","state_senate"
"184","al15005",2014,"al","","15",0,0.286382728978855,0.302846821430026,NA,0.285398329882417,0.320295312977635,-1,NA,"r","state_senate"
"185","al15005",2016,"al","","15",NA,0.289245400465857,0.302846821430026,NA,0.285398329882417,0.320295312977635,0,NA,"r","state_senate"
"186","al15005",2018,"al","","15",0,0.320968801041907,0.302846821430026,NA,0.285398329882417,0.320295312977635,0,NA,"r","state_senate"
"187","al15005",2020,"al","","15",NA,0.30285238617054,0.302846821430026,NA,0.285398329882417,0.320295312977635,0,NA,"r","state_senate"
"188","al15006",2022,"al","","15",0,0.248544638003021,0.293445798692388,NA,NA,NA,-1,NA,"r","state_senate"
"189","al15006",2024,"al","","15",NA,0.277811718960663,0.293445798692388,NA,NA,NA,0,NA,"r","state_senate"
"190","al16001",1972,"al","","16",NA,0.596928779631561,0.454467708343269,NA,NA,NA,0,0.769824653718892,NA,"state_senate"
"191","al16001",1974,"al","","16",1,0.814782078660827,0.454467708343269,NA,NA,NA,1,0.769824653718892,"d","state_senate"
"192","al16001",1976,"al","","16",NA,0.793734185635958,0.454467708343269,NA,NA,NA,0,0.769824653718892,"d","state_senate"
"193","al16001",1978,"al","","16",1,0.706684179639727,0.454467708343269,NA,NA,NA,0,0.769824653718892,"d","state_senate"
"194","al16001",1980,"al","","16",NA,0.634494672805903,0.454467708343269,NA,NA,NA,0,0.769824653718892,"d","state_senate"
"195","al16002",1982,"al","","16",NA,0.431607355745134,0.405045475619517,NA,NA,NA,0,0.519826494933264,NA,"state_senate"
"196","al16002",1984,"al","","16",NA,0.18678436622357,0.405045475619517,NA,NA,NA,0,0.519826494933264,NA,"state_senate"
"197","al16002",1986,"al","","16",0.142622917221733,0.142622917221733,0.405045475619517,NA,NA,NA,-1,0.519826494933264,"r","state_senate"
"198","al16002",1988,"al","","16",NA,0.142622917221733,0.405045475619517,NA,NA,NA,0,0.519826494933264,"r","state_senate"
"199","al16002",1990,"al","","16",0,0.438470715048449,0.405045475619517,NA,NA,NA,0,0.519826494933264,"r","state_senate"
"200","al16003",1992,"al","","16",NA,0.414991213657263,0.21740634739399,NA,NA,NA,0,NA,"r","state_senate"
"201","al16003",1994,"al","","16",0,0.256806726388016,0.21740634739399,NA,NA,NA,-1,NA,"r","state_senate"
"202","al16003",1996,"al","","16",NA,0.275198368926059,0.21740634739399,NA,NA,NA,0,NA,"r","state_senate"
"203","al16003",1998,"al","","16",0.209842519685039,0.209842519685039,0.21740634739399,NA,NA,NA,-1,NA,"r","state_senate"
"204","al16003",2000,"al","","16",NA,0.209842519685039,0.21740634739399,NA,NA,NA,0,NA,"r","state_senate"
"205","al16004",2002,"al","","16",0,0.322765851862506,0.244021005412909,NA,NA,NA,-1,NA,"r","state_senate"
"206","al16004",2004,"al","","16",NA,0.306041907507884,0.244021005412909,NA,NA,NA,0,NA,"r","state_senate"
"207","al16004",2006,"al","","16",0.222553143116972,0.222553143116972,0.244021005412909,NA,NA,NA,-1,NA,"r","state_senate"
"208","al16004",2008,"al","","16",NA,0.222553143116972,0.244021005412909,NA,NA,NA,0,NA,"r","state_senate"
"209","al16004",2010,"al","","16",0,0.246088096082961,0.244021005412909,NA,NA,NA,-1,NA,"r","state_senate"
"210","al16005",2012,"al","","16",NA,0.370591227771677,0.356188680820615,NA,0.324627136910838,0.387750224730391,0,NA,"r","state_senate"
"211","al16005",2014,"al","","16",0.227638701876838,0.227638701876838,0.356188680820615,NA,0.324627136910838,0.387750224730391,-1,NA,"r","state_senate"
"212","al16005",2016,"al","","16",NA,0.227638701876838,0.356188680820615,NA,0.324627136910838,0.387750224730391,0,NA,"r","state_senate"
"213","al16005",2018,"al","","16",0.370427088650672,0.370427088650672,0.356188680820615,NA,0.324627136910838,0.387750224730391,-1,NA,"r","state_senate"
"214","al16005",2020,"al","","16",NA,0.370427088650672,0.356188680820615,NA,0.324627136910838,0.387750224730391,0,NA,"r","state_senate"
"215","al16006",2022,"al","","16",0,0.327321833943903,0.387395762511967,NA,NA,NA,-1,NA,"r","state_senate"
"216","al16006",2024,"al","","16",NA,0.335862300629652,0.387395762511967,NA,NA,NA,0,NA,"r","state_senate"
"217","al17001",1972,"al","","17",NA,0.578440195707773,0.395126025804021,NA,NA,NA,0,0.728298321135162,NA,"state_senate"
"218","al17001",1974,"al","","17",1,0.790505228206456,0.395126025804021,NA,NA,NA,1,0.728298321135162,"d","state_senate"
"219","al17001",1976,"al","","17",NA,0.765552048335057,0.395126025804021,NA,NA,NA,0,0.728298321135162,"d","state_senate"
